Page,Label,Sequence
urn:cite:mid:bern318pages.41v.v1, Bern 318 Folio 41 Verso,82
urn:cite:mid:bern318pages.42r.v1, Bern 318 Folio 42 Recto,83
urn:cite:mid:bern318pages.42v.v1, Bern 318 Folio 42 Verso,84
urn:cite:mid:bern318pages.43r.v1, Bern 318 Folio 43 Recto,85
urn:cite:mid:bern318pages.43v.v1, Bern 318 Folio 43 Verso,86
urn:cite:mid:bern318pages.44r.v1, Bern 318 Folio 44 Recto,87
urn:cite:mid:bern318pages.44v.v1, Bern 318 Folio 44 Verso,88
urn:cite:mid:bern318pages.45r.v1, Bern 318 Folio 45 Recto,89
urn:cite:mid:bern318pages.45v.v1, Bern 318 Folio 45 Verso,90
urn:cite:mid:bern318pages.46r.v1, Bern 318 Folio 46 Recto,91
urn:cite:mid:bern318pages.46v.v1, Bern 318 Folio 46 Verso,92
urn:cite:mid:bern318pages.47r.v1, Bern 318 Folio 47 Recto,93
urn:cite:mid:bern318pages.47v.v1, Bern 318 Folio 47 Verso,94
urn:cite:mid:bern318pages.48r.v1, Bern 318 Folio 48 Recto,95
urn:cite:mid:bern318pages.48v.v1, Bern 318 Folio 48 Verso,96
urn:cite:mid:bern318pages.49r.v1, Bern 318 Folio 49 Recto,97
urn:cite:mid:bern318pages.49v.v1, Bern 318 Folio 49 Verso,98
urn:cite:mid:bern318pages.50r.v1, Bern 318 Folio 50 Recto,99
urn:cite:mid:bern318pages.50v.v1, Bern 318 Folio 50 Verso,100
urn:cite:mid:bern318pages.51r.v1, Bern 318 Folio 51 Recto,101
urn:cite:mid:bern318pages.51v.v1, Bern 318 Folio 51 Verso,102
urn:cite:mid:bern318pages.52r.v1, Bern 318 Folio 52 Recto,103
urn:cite:mid:bern318pages.52v.v1, Bern 318 Folio 52 Verso,104
urn:cite:mid:bern318pages.53r.v1, Bern 318 Folio 53 Recto,105
urn:cite:mid:bern318pages.53v.v1, Bern 318 Folio 53 Verso,106
urn:cite:mid:bern318pages.54r.v1, Bern 318 Folio 54 Recto,107
urn:cite:mid:bern318pages.54v.v1, Bern 318 Folio 54 Verso,108
urn:cite:mid:bern318pages.55r.v1, Bern 318 Folio 55 Recto,109
urn:cite:mid:bern318pages.55v.v1, Bern 318 Folio 55 Verso,110
urn:cite:mid:bern318pages.56r.v1, Bern 318 Folio 56 Recto,111
urn:cite:mid:bern318pages.56v.v1, Bern 318 Folio 56 Verso,112
urn:cite:mid:bern318pages.57r.v1, Bern 318 Folio 57 Recto,113
urn:cite:mid:bern318pages.57v.v1, Bern 318 Folio 57 Verso,114
urn:cite:mid:bern318pages.58r.v1, Bern 318 Folio 58 Recto,115
urn:cite:mid:bern318pages.58v.v1, Bern 318 Folio 58 Verso,116
urn:cite:mid:bern318pages.59r.v1, Bern 318 Folio 59 Recto,117
urn:cite:mid:bern318pages.59v.v1, Bern 318 Folio 59 Verso,118
urn:cite:mid:bern318pages.60r.v1, Bern 318 Folio 60 Recto,119
urn:cite:mid:bern318pages.60v.v1, Bern 318 Folio 60 Verso,120
urn:cite:mid:bern318pages.61r.v1, Bern 318 Folio 61 Recto,121
urn:cite:mid:bern318pages.61v.v1, Bern 318 Folio 61 Verso,122
urn:cite:mid:bern318pages.62r.v1, Bern 318 Folio 62 Recto,123
urn:cite:mid:bern318pages.62v.v1, Bern 318 Folio 62 Verso,124
urn:cite:mid:bern318pages.63r.v1, Bern 318 Folio 63 Recto,125
urn:cite:mid:bern318pages.63v.v1, Bern 318 Folio 63 Verso,126
urn:cite:mid:bern318pages.64r.v1, Bern 318 Folio 64 Recto,127
urn:cite:mid:bern318pages.64v.v1, Bern 318 Folio 64 Verso,128
urn:cite:mid:bern318pages.65r.v1, Bern 318 Folio 65 Recto,129
urn:cite:mid:bern318pages.65v.v1, Bern 318 Folio 65 Verso,130
urn:cite:mid:bern318pages.66r.v1, Bern 318 Folio 66 Recto,131
urn:cite:mid:bern318pages.66v.v1, Bern 318 Folio 66 Verso,132
urn:cite:mid:bern318pages.67r.v1, Bern 318 Folio 67 Recto,133
urn:cite:mid:bern318pages.67v.v1, Bern 318 Folio 67 Verso,134
urn:cite:mid:bern318pages.68r.v1, Bern 318 Folio 68 Recto,135
urn:cite:mid:bern318pages.68v.v1, Bern 318 Folio 68 Verso,136
urn:cite:mid:bern318pages.69r.v1, Bern 318 Folio 69 Recto,137
urn:cite:mid:bern318pages.69v.v1, Bern 318 Folio 69 Verso,138
urn:cite:mid:bern318pages.70r.v1, Bern 318 Folio 70 Recto,139
urn:cite:mid:bern318pages.70v.v1, Bern 318 Folio 70 Verso,140
urn:cite:mid:bern318pages.71r.v1, Bern 318 Folio 71 Recto,141
urn:cite:mid:bern318pages.71v.v1, Bern 318 Folio 71 Verso,142
urn:cite:mid:bern318pages.72r.v1, Bern 318 Folio 72 Recto,143
urn:cite:mid:bern318pages.72v.v1, Bern 318 Folio 72 Verso,144
urn:cite:mid:bern318pages.73r.v1, Bern 318 Folio 73 Recto,145
urn:cite:mid:bern318pages.73v.v1, Bern 318 Folio 73 Verso,146
urn:cite:mid:bern318pages.74r.v1, Bern 318 Folio 74 Recto,147
urn:cite:mid:bern318pages.74v.v1, Bern 318 Folio 74 Verso,148
urn:cite:mid:bern318pages.75r.v1, Bern 318 Folio 75 Recto,149
urn:cite:mid:bern318pages.75v.v1, Bern 318 Folio 75 Verso,150
